吖	kyaz	口丫
呵	kkez	口可
啊	keke	口⻖可
嗄	kbwf	口𦣻夂
腌	oddm	⺼大电
錒	jeke	金⻖可
锕	jeke	钅⻖可
阿	eker	⻖可
𠼞	raky	𠆢一口亞
𥥩	bbpk	宀八丿冂口
𨉚	uddm	身大电
㑸	rgke	亻古可
㕌	ioac	厂日一寸
㗒	kykz	口衣口
㗨	kuuk	匚矢殳口
㘷	tcxx	土艹乂
㝶	secy	⺫儿寸
㢊	gdke	广大可
㤅	wxbu	旡心
㱯	duab	歹山一口䒑
㿄	bkuu	疒匚矢殳
䀳	ouuu	目束
䅬	hbam	禾丷一八皿
䑂	ojvb	⺼𦥑㇉一丨一八
䔽	cdor	艹氵曰勹𠃊人
䝽	bitt	貝厂土土
䨠	yobr	雨曰勹𠃊人
䬵	uwjr	飠亠{丩}人
䶣	vkrb	止凵人人一人人山一口䒑
伌	rivv	亻厂㔾
僾	rvbw	亻爫冖心夂
凒	duab	冫山一口䒑
叆	yvby	云爫冖𠂇又
哀	ykzi	衣口
哎	kcxx	口艹乂
唉	ksui	口厶矢
啀	kitt	口厂土土
嗌	kbam	口丷一八皿
嗳	kvby	口爫冖𠂇又
嘊	kuit	口山厂土土
噯	kvbw	口爫冖心夂
埃	tsui	土厶矢
堨	tobr	土曰勹𠃊人
塧	tbam	土丷一八皿
壒	tcqm	土艹去皿
娭	nsui	女厶矢
娾	nitt	女厂土土
嫒	nvby	女爫冖𠂇又
嬡	nvbw	女爫冖心夂
嵦	uuab	山山一口䒑
愛	vbxw	爫冖心夂
懓	xvbw	忄爫冖心夂
懝	xbuz	忄匕矢龴疋
挨	fsui	扌厶矢
捱	fitt	扌厂土土
敱	uaky	山一口䒑⺊又
敳	uakw	山一口䒑攵
昹	oyso	日永
暧	ovby	日爫冖𠂇又
曖	ovbw	日爫冖心夂
欬	wjrq	亠{丩}人欠
欸	suqm	厶矢欠
毐	tmuu	士毋
溰	duab	氵山一口䒑
溾	dgvd	氵鬼
濭	dcqm	氵艹去皿
焥	hbxv	火宀夕㔾
爱	vbuy	爫冖𠂇又
瑷	wvby	𤣩爫冖𠂇又
璦	wvbw	𤣩爫冖心夂
癌	bkku	疒口口口山
皑	buji	白山己
皚	buab	白山一口䒑
皧	bvbw	白爫冖心夂
瞹	ovbw	目爫冖心夂
矮	uhnv	矢禾女
砹	ucxx	石艹乂
硋	uwjr	石亠{丩}人
硙	uuji	石山己
碍	uoac	石日一寸
磑	uuab	石山一口䒑
礙	ubuz	石匕矢龴疋
絠	suoo	糹𠂇月
艾	cxxc	艹乂
蔼	cyor	艹讠曰勹𠃊人
薆	cvbw	艹爫冖心夂
藹	cyor	艹訁曰勹𠃊人
諰	ytxb	訁田心
譪	ycor	訁艹曰勹𠃊人
譺	ybuz	訁匕矢龴疋
賹	bbam	貝丷一八皿
躷	uhnv	身禾女
銰	jcxx	金艹乂
鎄	jykz	金衣口
鑀	jvbw	金爫冖心夂
锿	jykz	钅衣口
隑	euab	⻖山一口䒑
隘	ebam	⻖丷一八皿
霭	yyor	雨讠曰勹𠃊人
靄	yyor	雨訁曰勹𠃊人
靉	yyvw	雨云爫冖心夂
餲	uobr	飠曰勹𠃊人
馤	hoor	禾日曰勹𠃊人
鱫	yvbw	魚爫冖心夂
鴱	cxnn	艹乂鳥
𠊎	ritt	亻厂土土
𠳳	kkmu	口口木
𡁍	kbfq	口宀丰口欠
𡉓	tnvu	土女
𡟓	nykz	女衣口
𡰽	uyzi	尸尤
𡶃	uhvv	山户乙
𢟪	gwxb	{艮}旡心
